10th,12th,IQ ,O,C,E,A,N,STREAM
95.93,76.51,10,39.8,82.5,46.7,87.2,48.6,Arts
97.73,78.7,30,42.6,45,57.2,76.5,46.7,Commerce
88.3,77.98,13,48.3,81.3,43.8,59.8,23,PCM
91.33,79.23,30,83.9,53.1,62,88.6,24.8,PCB
98.94,75.21,3,56.7,80.3,68.8,63.1,23.6,PCB
99.22,85.4,11,50,73,43.8,44,26,Commerce
91.81,75.58,85,62,85.2,44.6,72.2,30.8,PCM
80.96,79.58,15,52,63.2,84.2,64.6,23,PCB
88.98,76.4,21,49.7,68.8,62.6,90.3,29.9,PCM
96.06,76.25,36,68.1,78.1,72.1,57.7,61.2,PCB
83.95,47.03,11,48.4,51.5,61.8,50.3,28.3,PCB
89.23,77.68,6,40.8,43.9,40.4,74.3,71.1,PCB 
88,44.97,46,44.7,49.2,34,70.9,40,Commerce
91.57,79.41,26,50.1,85.9,50.6,72.4,44.3,PCM
90.86,80.42,77,42.9,53.8,30.1,59.1,66,PCM
80.33,79.72,17,42.1,38.9,44.6,56.2,55.4,Commerce
95.45,76.75,74,69.5,78.9,92,55.1,31.6,PCM
84.82,78.89,28,64,55.6,51.3,82.8,32,Commerce
92.68,75.29,62,48.7,96.4,45.4,73.1,23,PCM
85.11,83.25,15,64.7,64.5,27,43.4,30.8,Commerce
95.26,79.31,55,74.2,53.1,52,70.9,23,Commerce
90.41,40.32,20,41,80.2,88.8,63.9,27.1,PCB
74.44,76.44,28,47.4,86.8,37.7,74.6,35.8,PCM
96.93,90.36,68,44.7,69.9,62.9,57.5,28.3,PCB
96.54,79.24,15,73.3,53.4,45,83.9,23,PCM
91.98,64.4,55,56.7,53.4,41.8,49.9,33.4,Commerce
88.66,82.61,67,52.9,52.5,76.3,57.1,51.7,PCB
84.35,76.78,48,44.3,60.2,41.6,52.5,23,Commerce
92.34,80.42,20,45.8,48.5,31.9,64.2,23,PCB
92.9,79.89,59,71,62.6,31.5,47,41.9,PCB
93.1,76.89,8,70.8,93.2,65.8,76.3,37.1,Commerce
91.1,55.43,56,73.3,82.6,72.9,51.3,34.7,PCB
65,77.82,13,73.6,75.8,57.7,65.5,40.1,Commerce
93.16,77.49,86,94.3,74.4,93,78.9,23.3,PCB
98.85,76.74,16,50.6,56.3,67,77.5,37.6,PCM
85.49,77.04,23,46.6,83.8,45.4,73.5,38.1,PCB
90.54,40,18,51.4,73.3,62.8,52.6,23,Commerce
95.92,75.28,56,65.2,87.3,50.5,77.5,26.9,PCB
91.42,76.63,25,38,76.7,37.5,52.7,52.4,Arts
96.03,57.14,48,56.8,68.7,45.2,76.5,51.2,Commerce
96.04,59.05,12,62.9,68.4,36.8,95.7,49,Arts
99.22,81.84,18,42.1,63.1,52,58.2,43.2,Commerce
75.06,75.56,14,67.5,84.2,57.4,55.5,23,Commerce
84.25,76.18,7,49.4,80.4,54.2,62.4,40,PCB
87.99,79.93,54,63.2,96.6,55.4,76.4,23,Commerce
94.45,79.45,19,56.2,41.4,68.9,69.7,32.6,Commerce
92.53,79.15,13,49.1,56.5,43.8,45,43.6,PCB
89.83,79.27,86,76.4,96.7,58.5,72.6,42.4,PCM
95.29,79.53,11,52.6,49.1,55.6,68.1,50.3,PCM
74.95,80.46,18,63,76.5,86.5,42,25.8,Commerce
85.11,62.8,26,43.5,55.7,46,69.3,53.7,PCM
92.83,77.81,71,41.1,51.9,36.7,59.5,23,PCB
93.86,77.53,26,57,74.4,36.9,54,38.5,PCM
89.21,77.52,42,45.7,75.9,45,56.5,26.3,PCB
91.79,73.68,24,56.5,74,73.1,58.8,35.5,PCB
93.15,79.66,25,53.1,82.7,44.7,64.1,52.7,PCM
88.71,78.65,59,70.3,82.5,77.8,81.3,23,Commerce
72.68,78.78,7,58.2,87.4,26.9,58.8,23,PCB
91.08,84.14,54,64.1,49.6,51.1,62.9,52.4,Commerce
94.64,74.44,78,58.4,36,52.2,54.5,23,Commerce
94.45,77.97,56,46.9,78,52.7,65,29.9,PCB
92.11,82.24,24,55.8,82.8,52.8,67,40.6,PCM
95.58,76.82,16,52.7,77.3,43.9,55.4,36,PCB
89.36,74.76,28,47.6,93.9,45.6,60.8,37.5,PCM
96.46,77.57,40,49.5,57.2,37.8,60.4,23.2,PCB
88.96,45.71,8,44.5,39.8,52.6,42.9,37.1,Commerce
80.93,74.49,19,92.1,90.6,69.3,71.7,24.9,PCM
92.66,78.71,17,79.5,94.3,83.4,55.3,33.6,PCM
89.57,78.64,17,88.8,82.9,81.4,64.7,23,PCM
95.2,77.49,84,65.5,82.5,59.2,75.7,47.8,PCB
86.14,74.8,34,78.5,87.4,83.1,66.2,31.5,Commerce
89.36,78.97,17,62.2,46.9,70.1,91.8,49.1,PCM
87.58,81.79,16,46.7,78.5,59,51.4,29.6,Commerce
92.63,85.05,25,51.3,85.2,40.3,61.6,23,PCM
95.59,79.44,65,69.4,78.3,49.8,76.3,23,PCB
97.93,75.54,7,53.1,81.6,45.2,71.2,32,PCM
95.03,75.93,63,63.3,91.1,59.9,57.9,23,PCM
91.28,77.58,55,60.3,75.4,55.4,37.5,32.6,Commerce
82.91,75.33,23,45.4,67.5,43.5,51.6,27.6,PCB
94.37,76.88,56,54.4,59.4,59.1,91.2,38.1,Commerce
