STREAM VALUE,10TH,EQ,IQ,TOTAL,DATA,STREAM
25,66,12.25,20,32.25,1320,Arts
60,58.59,17.08,3,16.96,175.77,Commerce
100,80.32,17.22,18,38.76,1445.76,PCM
100,79.68,14.61,18,24.03,1434.24,PCB
100,85.2,15.13,18,34.55,1533.6,PCB
60,58.79,16.39,18,26.52,1058.22,Commerce
100,60.64,15.86,6,24.24,363.84,PCM
100,73.59,17.13,23,28.11,1692.57,PCB
100,79.32,13.91,19,28.91,1507.08,PCM
100,75.3,15.51,7,25.17,527.1,PCB
100,68.59,11.78,8,17.88,548.72,PCB
100,58.29,16,18,39.25,1049.22,PCB 
60,68.1,15.64,11,19.88,749.1,Commerce
100,67.94,14.98,15,37.19,1019.1,PCM
100,83.62,14.91,18,32.27,1505.16,PCM
60,59.57,15.05,16,30.2,953.12,Commerce
100,85.52,13.86,20,35.29,1710.4,PCM
60,70.84,13.04,17,34.95,1204.28,Commerce
100,86.45,13.96,15,36.43,1296.75,PCM
60,60.41,17.44,9,17.87,543.69,Commerce
60,64.44,17.04,20,36.5,1288.8,Commerce
100,84.81,14.67,13,27.69,1102.53,PCB
100,86.48,13.85,18,39.25,1556.64,PCM
100,71.59,17.11,17,25.54,1217.03,PCB
100,88.79,17.42,16,27.69,1420.64,PCM
60,70.14,14.88,12,24.96,841.68,Commerce
100,64.33,13.45,8,21,514.64,PCB
60,59.97,17.6,21,17.32,1259.37,Commerce
100,87.87,18.2,9,24.41,790.83,PCB
100,76.55,14.03,18,31.25,1377.9,PCB
60,72.14,18.04,13,25.66,937.82,Commerce
100,60.51,15.72,18,21.64,1089.18,PCB
60,85.37,13.81,12,22.67,1024.44,Commerce
100,69.69,11.75,11,26.62,766.59,PCB
100,72.18,17.02,21,32.91,1515.78,PCM
100,73.79,14.21,19,29.65,1402.01,PCB
60,62.82,15.27,0,18.97,0,Commerce
100,78.93,11.87,9,22.45,710.37,PCB
25,74.81,16.15,23,34.98,1720.63,Arts
60,57.77,13.59,0,15.58,0,Commerce
25,75.93,14.4,19,32.83,1442.67,Arts
60,60.76,16.5,20,33.65,1215.2,Commerce
60,63.91,15.91,17,21.81,1086.47,Commerce
100,78.07,16.8,18,34.1,1405.26,PCB
60,69.58,16.17,19,28.4,1322.02,Commerce
60,63.04,18.25,16,15.51,1008.64,Commerce
100,78.84,15,9,27.86,709.56,PCB
100,74.71,11.05,16,32.73,1195.36,PCM
100,62,12.56,14,19.03,868,PCM
60,59.32,16.58,5,23.02,296.6,Commerce
100,85.8,18.25,24,39.25,2059.2,PCM
100,79.07,16.22,17,30.26,1344.19,PCB
100,92,13.83,24,39.25,2208,PCM
100,72.29,12.15,8,16.65,578.32,PCB
100,87.96,13.12,23,39.25,2023.08,PCB
100,78,15.49,23,33.42,1794,PCM
60,76.73,13.96,19,25.75,1457.87,Commerce
100,76.15,17.19,15,35.55,1142.25,PCB
60,69.57,16.19,18,27.03,1252.26,Commerce
60,55.15,16.78,10,12.5,551.5,Commerce
100,92,17.48,19,34.3,1748,PCB
100,92,15.59,17,30.45,1564,PCM
100,63.45,16.85,8,14.96,507.6,PCB
100,74.76,12.17,17,33.48,1270.92,PCM
100,85.01,15.84,19,34.4,1615.19,PCB
60,92,15.85,22,38.9,2024,Commerce
100,86.13,14.87,15,29.43,1291.95,PCM
100,68.3,13.62,19,34.52,1297.7,PCM
100,74.52,16.41,16,29.79,1192.32,PCM
100,84.15,16.26,14,23.1,1178.1,PCB
60,64.78,14.64,3,22.78,194.34,Commerce
100,78.43,13.1,19,39.25,1490.17,PCM
60,54.53,16.01,16,22.34,872.48,Commerce
100,82.15,14.83,16,34.39,1314.4,PCM
100,63.51,13.69,8,31.5,508.08,PCB
100,76.67,15.48,21,27.95,1610.07,PCM
100,88.91,14.22,17,27.64,1511.47,PCM
60,65.71,15.47,17,33.03,1117.07,Commerce
100,70.43,17.21,10,27.01,704.3,PCB
60,67.19,14.87,14,23.62,940.66,Commerce
100,87.56,15.61,15,24.62,1313.4,PCB
60,71.86,14.51,18,26.01,1293.48,Commerce
60,74.51,13.65,15,28.21,1117.65,Commerce
100,82.02,12.34,20,31.16,1640.4,PCB
100,72.65,15.06,16,24.01,1162.4,PCB
100,79.95,13.28,23,30.29,1838.85,PCM
100,81.81,16.85,20,19.18,1636.2,PCB
60,62.3,16.44,18,29.62,1121.4,Commerce
100,73.13,13.5,19,23.92,1389.47,PCM
100,76.62,15.58,16,21.28,1225.92,PCB
60,79.76,18.25,19,32.25,1515.44,Commerce
60,43.57,12.84,2,12.5,87.14,Commerce
60,72.46,17.46,21,23.66,1521.66,Commerce
60,84.59,17.93,9,29.5,761.31,Commerce
60,59.35,16.11,5,21.93,296.75,Commerce
100,74.27,14.34,19,31.38,1411.13,PCB
100,84.19,17.49,13,28.06,1094.47,PCB
100,74.32,13.15,19,29.54,1412.08,PCM
100,77.9,12.49,19,34.66,1480.1,PCM
100,85.56,17.5,24,33.37,2053.44,PCM
100,80.57,16.55,20,39.25,1611.4,PCM
60,53.02,13.75,5,12.5,265.1,Commerce
100,79.23,15.18,17,24.73,1346.91,PCB
100,66.51,15.77,5,27.58,332.55,PCB
60,73.02,15.54,18,24.96,1314.36,Commerce
100,82.41,17.45,17,26.41,1400.97,PCM
100,68.19,15.36,10,26,681.9,PCB
60,67.54,16.57,16,27.53,1080.64,Commerce
100,69.53,16.17,18,18.15,1251.54,PCB
100,75.32,16.52,16,25.03,1205.12,PCB
25,78,15.36,21,36.21,1638,Arts
100,84.89,15.78,15,36.98,1273.35,PCB
60,81.4,17.48,18,30,1465.2,Commerce
100,75.23,15.46,16,25.59,1203.68,PCB
25,68.13,12.78,19,34.37,1294.47,Arts
60,64.56,16.26,17,26.5,1097.52,Commerce
60,68.39,17.72,12,32.26,820.68,Commerce
100,77.29,15.32,16,28.81,1236.64,PCM
60,61.63,14.79,18,18.15,1109.34,Commerce
60,61.47,15.3,12,25.29,737.64,Commerce
100,57.98,14.8,15,25.23,869.7,PCB
100,75.93,15.41,23,34.92,1746.39,PCM
60,65.32,16.82,17,30,1110.44,Commerce
100,92,13.11,9,20.17,828,PCB
100,67.07,15.31,3,18.36,201.21,PCB
100,92,18.09,22,31.25,2024,PCM
60,74.15,17.24,5,33.9,370.75,Commerce
60,61.1,15.34,16,25.54,977.6,Commerce
60,55.18,15.88,19,25.11,1048.42,Commerce
100,57.66,16.42,17,34.46,980.22,PCM
100,75.07,17.65,20,33.18,1501.4,PCM
60,75.54,14.85,2,19.73,151.08,Commerce
60,81.72,15.31,19,30.44,1552.68,Commerce
100,91.38,15.65,22,27.25,2010.36,PCM
100,69.4,17.08,14,30.89,971.6,PCB
60,64.12,11.54,0,21.07,0,Commerce
60,66.86,15.69,9,26.79,601.74,Commerce
100,82.1,14.34,14,21.28,1149.4,PCB
25,61.54,14.21,19,30,1169.26,Arts
100,71.16,11.96,16,22.92,1138.56,PCB
60,58.4,16.74,6,23.74,350.4,Commerce
60,60.93,16.02,13,26.23,792.09,Commerce
60,71.47,14.22,15,34.32,1072.05,Commerce
60,58.3,16.69,12,14.72,699.6,Commerce
60,75.91,15.81,18,33.95,1366.38,Commerce
25,86.51,13.66,23,39.1,1989.73,Arts
60,68.88,16.04,18,28.79,1239.84,Commerce
100,66.36,13.83,10,20.53,663.6,PCB
100,69.32,16.85,10,18.22,693.2,PCB
60,67.63,15.21,22,33.77,1487.86,Commerce
100,85.32,16.97,12,38.29,1023.84,PCM
100,80.61,13.24,19,39.04,1531.59,PCM
100,60.71,14.5,18,25.48,1092.78,PCB
100,92,16.4,17,33.54,1564,PCM
100,55.51,15.6,5,28.3,277.55,PCB
25,81.18,16.16,24,39.25,1948.32,Arts
60,57.58,17.5,15,23.66,863.7,Commerce
60,76.11,15.48,13,24.3,989.43,Commerce
100,55.56,15.02,13,33.96,722.28,PCB 
60,63.49,15.74,15,29.77,952.35,Commerce
100,80.47,15.79,20,31.37,1609.4,PCM
25,83.74,12.67,24,37.62,2009.76,Arts
60,72.17,17.82,22,38.33,1587.74,Commerce
100,69.12,15.98,19,23.75,1313.28,PCM
60,74.36,15.95,5,17.09,371.8,Commerce
100,92,17.21,23,37.57,2116,PCM
100,92,14.24,14,38.54,1288,PCM
100,86.56,15.63,9,28.62,779.04,PCB
100,78.85,14.42,16,22.7,1261.6,PCM
100,80.24,14.07,17,31.88,1364.08,PCB
60,88.09,16.2,22,29.23,1937.98,Commerce
100,55.95,14.76,3,22.56,167.85,PCB
60,67.5,12.72,9,25.13,607.5,Commerce
100,88.98,15.26,19,37.59,1690.62,PCM
100,81,11.58,19,25.91,1539,PCM
60,83.69,14.91,2,19.86,167.38,Commerce
60,71.22,15.05,10,25.42,712.2,Commerce
100,76.38,13.51,11,26.61,840.18,PCB
60,70.09,15.36,14,12.5,981.26,Commerce
60,61.81,17.15,16,24.77,988.96,Commerce
100,83.27,11.44,21,34.06,1748.67,PCM
25,75.31,17.44,18,35.53,1355.58,Arts
100,54.59,13.33,12,20.15,655.08,PCB
100,65.28,11.72,19,29.26,1240.32,PCM
100,74.61,13.16,16,19.26,1193.76,PCB
60,87.63,16.82,19,33.58,1664.97,Commerce
100,71.12,13.56,17,28.43,1209.04,PCM
60,71.21,15.13,3,22.36,213.63,Commerce
100,56.47,11.28,11,18.87,621.17,PCB
60,65.31,15.69,8,21.14,522.48,Commerce
100,69.98,17.63,23,39.25,1609.54,PCM
60,56.81,15.15,17,27.37,965.77,Commerce
60,64.91,15.59,9,28.68,584.19,Commerce
100,59.48,15.62,13,20.17,773.24,PCB
100,66.25,14.57,19,19.65,1258.75,PCM
100,85.76,15.74,22,39.25,1886.72,PCB
60,81.66,16.03,15,18.79,1224.9,Commerce
100,80.85,15.08,10,30.37,808.5,PCB
100,82.86,15.46,20,26.33,1657.2,PCB
100,76.59,14.29,19,33.72,1455.21,PCB
100,74.44,13.55,9,20.08,669.96,PCB
60,53.87,13.44,8,22.13,430.96,Commerce
100,79.46,14.27,3,30.61,238.38,PCB
100,64.52,14.43,11,21,709.72,PCB
100,84.26,15.68,19,39.25,1600.94,PCM
60,53.65,13.83,21,27.93,1126.65,Commerce
25,75.13,13.6,19,28.46,1427.47,Arts
100,72.52,15.55,7,17.59,507.64,PCB
100,86.97,14.36,6,24.75,521.82,PCB
100,80.06,16.38,22,31.79,1761.32,PCM
100,73.31,13.89,21,21.22,1539.51,PCM
100,70.39,14.17,18,32.66,1267.02,PCM
60,83.44,15.24,23,34.34,1919.12,Commerce
60,61.17,14.9,5,28.49,305.85,Commerce
100,83.2,14.44,13,29.75,1081.6,PCB
60,69.43,15.34,0,20.17,0,Commerce
100,74.18,12.55,24,32.93,1780.32,PCM
60,53.2,15.12,19,20.58,1010.8,Commerce
100,64.91,13.26,22,28.3,1428.02,PCB
25,75.34,15.6,22,39.25,1657.48,Arts
100,76.32,18.25,18,39.25,1373.76,PCB
100,83.81,14.85,19,32.79,1592.39,PCB
100,72.4,13.4,17,21.41,1230.8,PCM
100,81.25,12.81,9,16.05,731.25,PCB
100,88.42,17.68,21,39.25,1856.82,PCM
60,56.52,17.08,4,22.05,226.08,Commerce
60,66.58,18.24,19,20.58,1265.02,Commerce
60,63.65,17.23,19,26.66,1209.35,Commerce
100,70.35,16.77,18,38.22,1266.3,PCM
60,77.18,17.82,19,35.17,1466.42,Commerce
100,69.08,16.73,20,29.8,1381.6,PCB
60,74.83,15.33,16,17.02,1197.28,Commerce
100,80.75,12.9,16,17.45,1292,PCB
100,60.14,15.91,24,28.93,1443.36,PCB
25,69.62,16.36,18,39.12,1253.16,Arts
